image,dataset,policy,verifier,prompt,N_gt,N_obs,N_supp,N_cons,precision,recall,f1,pool_recall,per_pass_pool_recall,cost,n_actions,seconds
carpk_00049,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,108,115,103,110,,,,,,7.95,4,10.58
carpk_00050,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,92,95,85,95,,,,,,7.95,4,10.664
carpk_00051,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,143,149,122,146,,,,,,7.95,4,10.193
carpk_00052,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,110,119,112,116,,,,,,7.95,4,10.688
carpk_00053,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,148,159,124,157,,,,,,7.95,4,10.505
carpk_00054,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,123,127,115,124,,,,,,7.95,4,10.846
carpk_00055,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,110,116,105,114,,,,,,7.95,4,10.62
carpk_00056,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,9,12,12,11,,,,,,7.95,4,10.429
carpk_00057,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,110,117,109,116,,,,,,7.95,4,10.656
carpk_00058,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,124,132,108,132,,,,,,7.95,4,12.544
carpk_00059,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,142,150,112,149,,,,,,7.95,4,10.846
carpk_00060,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,80,83,79,82,,,,,,7.95,4,10.4
carpk_00061,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,130,135,108,134,,,,,,7.95,4,11.126
carpk_00062,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,106,112,96,109,,,,,,7.95,4,10.792
carpk_00063,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,75,87,69,83,,,,,,7.95,4,10.407
carpk_00064,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,184,189,179,186,,,,,,7.95,4,10.92
carpk_00065,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,2,2,2,2,,,,,,6.9,3,8.906
carpk_00066,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,96,99,91,97,,,,,,7.95,4,10.491
carpk_00067,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,111,115,104,113,,,,,,7.95,4,10.654
carpk_00068,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,110,118,107,113,,,,,,7.95,4,10.986
carpk_00069,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,87,95,84,93,,,,,,7.95,4,11.248
carpk_00070,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,127,129,119,127,,,,,,7.95,4,10.426
carpk_00071,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,80,89,80,88,,,,,,7.95,4,10.613
carpk_00072,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,10,10,10,10,,,,,,7.95,4,10.701
carpk_00073,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,74,82,65,80,,,,,,7.95,4,10.466
carpk_00074,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,120,126,114,123,,,,,,7.95,4,10.906
carpk_00075,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,103,103,90,103,,,,,,7.95,4,10.441
carpk_00076,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,52,53,50,52,,,,,,7.95,4,10.511
carpk_00077,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,142,148,120,148,,,,,,7.95,4,10.571
carpk_00078,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,103,107,94,105,,,,,,7.95,4,10.689
carpk_00079,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,121,124,104,123,,,,,,7.95,4,12.036
